season,season_type,week_name,week_start,week_end,game_name,game_short,game_date,home_team,home_venue,away_team
object,object,object,"datetime64[ns, UTC]","datetime64[ns, UTC]",object,object,"datetime64[ns, UTC]",object,object,object
Preseason,1,Hall of Fame Weekend,2024-08-01 07:00:00+00:00,2024-08-08 06:59:00+00:00,Houston Texans at Chicago Bears,HOU VS CHI,2024-08-02 00:00:00+00:00,Chicago Bears,Soldier Field,Houston Texans
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Carolina Panthers at New England Patriots,CAR @ NE,2024-08-08 23:00:00+00:00,New England Patriots,Gillette Stadium,Carolina Panthers
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Detroit Lions at New York Giants,DET @ NYG,2024-08-08 23:00:00+00:00,New York Giants,MetLife Stadium,Detroit Lions
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Atlanta Falcons at Miami Dolphins,ATL @ MIA,2024-08-09 23:00:00+00:00,Miami Dolphins,Hard Rock Stadium,Atlanta Falcons
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Houston Texans at Pittsburgh Steelers,HOU @ PIT,2024-08-09 23:00:00+00:00,Pittsburgh Steelers,Acrisure Stadium,Houston Texans
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Philadelphia Eagles at Baltimore Ravens,PHI @ BAL,2024-08-09 23:30:00+00:00,Baltimore Ravens,M&T Bank Stadium,Philadelphia Eagles
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Washington Commanders at New York Jets,WSH @ NYJ,2024-08-10 16:00:00+00:00,New York Jets,MetLife Stadium,Washington Commanders
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Chicago Bears at Buffalo Bills,CHI @ BUF,2024-08-10 17:00:00+00:00,Buffalo Bills,Highmark Stadium,Chicago Bears
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Las Vegas Raiders at Minnesota Vikings,LV @ MIN,2024-08-10 20:00:00+00:00,Minnesota Vikings,U.S. Bank Stadium,Las Vegas Raiders
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Green Bay Packers at Cleveland Browns,GB @ CLE,2024-08-10 20:25:00+00:00,Cleveland Browns,Cleveland Browns Stadium,Green Bay Packers
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Tampa Bay Buccaneers at Cincinnati Bengals,TB @ CIN,2024-08-10 23:00:00+00:00,Cincinnati Bengals,Paycor Stadium,Tampa Bay Buccaneers
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,San Francisco 49ers at Tennessee Titans,SF @ TEN,2024-08-10 23:00:00+00:00,Tennessee Titans,Nissan Stadium,San Francisco 49ers
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Kansas City Chiefs at Jacksonville Jaguars,KC @ JAX,2024-08-10 23:00:00+00:00,Jacksonville Jaguars,EverBank Stadium,Kansas City Chiefs
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Seattle Seahawks at Los Angeles Chargers,SEA @ LAC,2024-08-10 23:05:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,Seattle Seahawks
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,New Orleans Saints at Arizona Cardinals,NO @ ARI,2024-08-11 00:00:00+00:00,Arizona Cardinals,State Farm Stadium,New Orleans Saints
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Denver Broncos at Indianapolis Colts,DEN @ IND,2024-08-11 17:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Denver Broncos
Preseason,1,Preseason Week 1,2024-08-08 07:00:00+00:00,2024-08-15 06:59:00+00:00,Dallas Cowboys at Los Angeles Rams,DAL @ LAR,2024-08-11 20:30:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,Dallas Cowboys
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Philadelphia Eagles at New England Patriots,PHI @ NE,2024-08-15 23:00:00+00:00,New England Patriots,Gillette Stadium,Philadelphia Eagles
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Atlanta Falcons at Baltimore Ravens,ATL @ BAL,2024-08-17 16:00:00+00:00,Baltimore Ravens,M&T Bank Stadium,Atlanta Falcons
