season,season_type,week_name,week_start,week_end,game_name,game_short,game_date,home_team,home_venue,away_team
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Cincinnati Bengals at Chicago Bears,CIN @ CHI,2024-08-17 17:00:00+00:00,Chicago Bears,Soldier Field,Cincinnati Bengals
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,New York Giants at Houston Texans,NYG @ HOU,2024-08-17 17:00:00+00:00,Houston Texans,NRG Stadium,New York Giants
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Detroit Lions at Kansas City Chiefs,DET @ KC,2024-08-17 20:00:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Detroit Lions
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Minnesota Vikings at Cleveland Browns,MIN @ CLE,2024-08-17 20:25:00+00:00,Cleveland Browns,Cleveland Browns Stadium,Minnesota Vikings
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Seattle Seahawks at Tennessee Titans,SEA @ TEN,2024-08-17 23:00:00+00:00,Tennessee Titans,Nissan Stadium,Seattle Seahawks
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Arizona Cardinals at Indianapolis Colts,ARI @ IND,2024-08-17 23:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Arizona Cardinals
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Washington Commanders at Miami Dolphins,WSH @ MIA,2024-08-17 23:00:00+00:00,Miami Dolphins,Hard Rock Stadium,Washington Commanders
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Buffalo Bills at Pittsburgh Steelers,BUF @ PIT,2024-08-17 23:00:00+00:00,Pittsburgh Steelers,Acrisure Stadium,Buffalo Bills
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,New York Jets at Carolina Panthers,NYJ @ CAR,2024-08-17 23:00:00+00:00,Carolina Panthers,Bank of America Stadium,New York Jets
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Los Angeles Rams at Los Angeles Chargers,LAR @ LAC,2024-08-17 23:05:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,Los Angeles Rams
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Tampa Bay Buccaneers at Jacksonville Jaguars,TB @ JAX,2024-08-17 23:30:00+00:00,Jacksonville Jaguars,EverBank Stadium,Tampa Bay Buccaneers
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Dallas Cowboys at Las Vegas Raiders,DAL @ LV,2024-08-18 02:00:00+00:00,Las Vegas Raiders,Allegiant Stadium,Dallas Cowboys
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,Green Bay Packers at Denver Broncos,GB @ DEN,2024-08-19 00:00:00+00:00,Denver Broncos,Empower Field at Mile High,Green Bay Packers
Preseason,1,Preseason Week 2,2024-08-15 07:00:00+00:00,2024-08-22 06:59:00+00:00,New Orleans Saints at San Francisco 49ers,NO @ SF,2024-08-19 00:00:00+00:00,San Francisco 49ers,Levi's Stadium,New Orleans Saints
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Indianapolis Colts at Cincinnati Bengals,IND @ CIN,2024-08-23 00:00:00+00:00,Cincinnati Bengals,Paycor Stadium,Indianapolis Colts
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Chicago Bears at Kansas City Chiefs,CHI @ KC,2024-08-23 00:20:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Chicago Bears
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Jacksonville Jaguars at Atlanta Falcons,JAX @ ATL,2024-08-23 23:00:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,Jacksonville Jaguars
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Miami Dolphins at Tampa Bay Buccaneers,MIA @ TB,2024-08-23 23:30:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,Miami Dolphins
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,San Francisco 49ers at Las Vegas Raiders,SF @ LV,2024-08-24 02:00:00+00:00,Las Vegas Raiders,Allegiant Stadium,San Francisco 49ers
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Carolina Panthers at Buffalo Bills,CAR @ BUF,2024-08-24 17:00:00+00:00,Buffalo Bills,Highmark Stadium,Carolina Panthers
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Pittsburgh Steelers at Detroit Lions,PIT @ DET,2024-08-24 17:00:00+00:00,Detroit Lions,Ford Field,Pittsburgh Steelers
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Baltimore Ravens at Green Bay Packers,BAL @ GB,2024-08-24 17:00:00+00:00,Green Bay Packers,Lambeau Field,Baltimore Ravens
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Minnesota Vikings at Philadelphia Eagles,MIN @ PHI,2024-08-24 17:00:00+00:00,Philadelphia Eagles,Lincoln Financial Field,Minnesota Vikings
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Los Angeles Rams at Houston Texans,LAR @ HOU,2024-08-24 17:00:00+00:00,Houston Texans,NRG Stadium,Los Angeles Rams
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Los Angeles Chargers at Dallas Cowboys,LAC @ DAL,2024-08-24 20:00:00+00:00,Dallas Cowboys,AT&T Stadium,Los Angeles Chargers
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,New York Giants at New York Jets,NYG @ NYJ,2024-08-24 23:30:00+00:00,New York Jets,MetLife Stadium,New York Giants
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Cleveland Browns at Seattle Seahawks,CLE @ SEA,2024-08-25 02:00:00+00:00,Seattle Seahawks,Lumen Field,Cleveland Browns
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Tennessee Titans at New Orleans Saints,TEN @ NO,2024-08-25 18:00:00+00:00,New Orleans Saints,Caesars Superdome,Tennessee Titans
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,Arizona Cardinals at Denver Broncos,ARI @ DEN,2024-08-25 20:30:00+00:00,Denver Broncos,Empower Field at Mile High,Arizona Cardinals
Preseason,1,Preseason Week 3,2024-08-22 07:00:00+00:00,2024-09-04 06:59:00+00:00,New England Patriots at Washington Commanders,NE @ WSH,2024-08-26 00:00:00+00:00,Washington Commanders,Commanders Field,New England Patriots
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Baltimore Ravens at Kansas City Chiefs,BAL @ KC,2024-09-06 00:20:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Baltimore Ravens
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Green Bay Packers at Philadelphia Eagles,GB VS PHI,2024-09-07 00:15:00+00:00,Philadelphia Eagles,Lincoln Financial Field,Green Bay Packers
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Pittsburgh Steelers at Atlanta Falcons,PIT @ ATL,2024-09-08 17:00:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,Pittsburgh Steelers
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Arizona Cardinals at Buffalo Bills,ARI @ BUF,2024-09-08 17:00:00+00:00,Buffalo Bills,Highmark Stadium,Arizona Cardinals
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Tennessee Titans at Chicago Bears,TEN @ CHI,2024-09-08 17:00:00+00:00,Chicago Bears,Soldier Field,Tennessee Titans
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,New England Patriots at Cincinnati Bengals,NE @ CIN,2024-09-08 17:00:00+00:00,Cincinnati Bengals,Paycor Stadium,New England Patriots
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Houston Texans at Indianapolis Colts,HOU @ IND,2024-09-08 17:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Houston Texans
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Jacksonville Jaguars at Miami Dolphins,JAX @ MIA,2024-09-08 17:00:00+00:00,Miami Dolphins,Hard Rock Stadium,Jacksonville Jaguars
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Carolina Panthers at New Orleans Saints,CAR @ NO,2024-09-08 17:00:00+00:00,New Orleans Saints,Caesars Superdome,Carolina Panthers
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Minnesota Vikings at New York Giants,MIN @ NYG,2024-09-08 17:00:00+00:00,New York Giants,MetLife Stadium,Minnesota Vikings
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Las Vegas Raiders at Los Angeles Chargers,LV @ LAC,2024-09-08 20:05:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,Las Vegas Raiders
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Denver Broncos at Seattle Seahawks,DEN @ SEA,2024-09-08 20:05:00+00:00,Seattle Seahawks,Lumen Field,Denver Broncos
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Dallas Cowboys at Cleveland Browns,DAL @ CLE,2024-09-08 20:25:00+00:00,Cleveland Browns,Cleveland Browns Stadium,Dallas Cowboys
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Washington Commanders at Tampa Bay Buccaneers,WSH @ TB,2024-09-08 20:25:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,Washington Commanders
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,Los Angeles Rams at Detroit Lions,LAR @ DET,2024-09-09 00:20:00+00:00,Detroit Lions,Ford Field,Los Angeles Rams
Regular Season,2,Week 1,2024-09-04 07:00:00+00:00,2024-09-11 06:59:00+00:00,New York Jets at San Francisco 49ers,NYJ @ SF,2024-09-10 00:20:00+00:00,San Francisco 49ers,Levi's Stadium,New York Jets
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Buffalo Bills at Miami Dolphins,BUF @ MIA,2024-09-13 00:15:00+00:00,Miami Dolphins,Hard Rock Stadium,Buffalo Bills
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,New Orleans Saints at Dallas Cowboys,NO @ DAL,2024-09-15 17:00:00+00:00,Dallas Cowboys,AT&T Stadium,New Orleans Saints
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Tampa Bay Buccaneers at Detroit Lions,TB @ DET,2024-09-15 17:00:00+00:00,Detroit Lions,Ford Field,Tampa Bay Buccaneers
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Indianapolis Colts at Green Bay Packers,IND @ GB,2024-09-15 17:00:00+00:00,Green Bay Packers,Lambeau Field,Indianapolis Colts
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,New York Jets at Tennessee Titans,NYJ @ TEN,2024-09-15 17:00:00+00:00,Tennessee Titans,Nissan Stadium,New York Jets
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,San Francisco 49ers at Minnesota Vikings,SF @ MIN,2024-09-15 17:00:00+00:00,Minnesota Vikings,U.S. Bank Stadium,San Francisco 49ers
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Seattle Seahawks at New England Patriots,SEA @ NE,2024-09-15 17:00:00+00:00,New England Patriots,Gillette Stadium,Seattle Seahawks
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,New York Giants at Washington Commanders,NYG @ WSH,2024-09-15 17:00:00+00:00,Washington Commanders,Commanders Field,New York Giants
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Los Angeles Chargers at Carolina Panthers,LAC @ CAR,2024-09-15 17:00:00+00:00,Carolina Panthers,Bank of America Stadium,Los Angeles Chargers
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Cleveland Browns at Jacksonville Jaguars,CLE @ JAX,2024-09-15 17:00:00+00:00,Jacksonville Jaguars,EverBank Stadium,Cleveland Browns
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Las Vegas Raiders at Baltimore Ravens,LV @ BAL,2024-09-15 17:00:00+00:00,Baltimore Ravens,M&T Bank Stadium,Las Vegas Raiders
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Los Angeles Rams at Arizona Cardinals,LAR @ ARI,2024-09-15 20:05:00+00:00,Arizona Cardinals,State Farm Stadium,Los Angeles Rams
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Pittsburgh Steelers at Denver Broncos,PIT @ DEN,2024-09-15 20:25:00+00:00,Denver Broncos,Empower Field at Mile High,Pittsburgh Steelers
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Cincinnati Bengals at Kansas City Chiefs,CIN @ KC,2024-09-15 20:25:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Cincinnati Bengals
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Chicago Bears at Houston Texans,CHI @ HOU,2024-09-16 00:20:00+00:00,Houston Texans,NRG Stadium,Chicago Bears
Regular Season,2,Week 2,2024-09-11 07:00:00+00:00,2024-09-18 06:59:00+00:00,Atlanta Falcons at Philadelphia Eagles,ATL @ PHI,2024-09-17 00:15:00+00:00,Philadelphia Eagles,Lincoln Financial Field,Atlanta Falcons
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,New England Patriots at New York Jets,NE @ NYJ,2024-09-20 00:15:00+00:00,New York Jets,MetLife Stadium,New England Patriots
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,New York Giants at Cleveland Browns,NYG @ CLE,2024-09-22 17:00:00+00:00,Cleveland Browns,Cleveland Browns Stadium,New York Giants
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Green Bay Packers at Tennessee Titans,GB @ TEN,2024-09-22 17:00:00+00:00,Tennessee Titans,Nissan Stadium,Green Bay Packers
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Chicago Bears at Indianapolis Colts,CHI @ IND,2024-09-22 17:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Chicago Bears
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Houston Texans at Minnesota Vikings,HOU @ MIN,2024-09-22 17:00:00+00:00,Minnesota Vikings,U.S. Bank Stadium,Houston Texans
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Philadelphia Eagles at New Orleans Saints,PHI @ NO,2024-09-22 17:00:00+00:00,New Orleans Saints,Caesars Superdome,Philadelphia Eagles
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Los Angeles Chargers at Pittsburgh Steelers,LAC @ PIT,2024-09-22 17:00:00+00:00,Pittsburgh Steelers,Acrisure Stadium,Los Angeles Chargers
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Denver Broncos at Tampa Bay Buccaneers,DEN @ TB,2024-09-22 17:00:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,Denver Broncos
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Carolina Panthers at Las Vegas Raiders,CAR @ LV,2024-09-22 20:05:00+00:00,Las Vegas Raiders,Allegiant Stadium,Carolina Panthers
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Miami Dolphins at Seattle Seahawks,MIA @ SEA,2024-09-22 20:05:00+00:00,Seattle Seahawks,Lumen Field,Miami Dolphins
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Baltimore Ravens at Dallas Cowboys,BAL @ DAL,2024-09-22 20:25:00+00:00,Dallas Cowboys,AT&T Stadium,Baltimore Ravens
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,San Francisco 49ers at Los Angeles Rams,SF @ LAR,2024-09-22 20:25:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,San Francisco 49ers
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Detroit Lions at Arizona Cardinals,DET @ ARI,2024-09-22 20:25:00+00:00,Arizona Cardinals,State Farm Stadium,Detroit Lions
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Kansas City Chiefs at Atlanta Falcons,KC @ ATL,2024-09-23 00:20:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,Kansas City Chiefs
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Jacksonville Jaguars at Buffalo Bills,JAX @ BUF,2024-09-23 23:30:00+00:00,Buffalo Bills,Highmark Stadium,Jacksonville Jaguars
Regular Season,2,Week 3,2024-09-18 07:00:00+00:00,2024-09-25 06:59:00+00:00,Washington Commanders at Cincinnati Bengals,WSH @ CIN,2024-09-24 00:15:00+00:00,Cincinnati Bengals,Paycor Stadium,Washington Commanders
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Dallas Cowboys at New York Giants,DAL @ NYG,2024-09-27 00:15:00+00:00,New York Giants,MetLife Stadium,Dallas Cowboys
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,New Orleans Saints at Atlanta Falcons,NO @ ATL,2024-09-29 17:00:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,New Orleans Saints
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Los Angeles Rams at Chicago Bears,LAR @ CHI,2024-09-29 17:00:00+00:00,Chicago Bears,Soldier Field,Los Angeles Rams
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Minnesota Vikings at Green Bay Packers,MIN @ GB,2024-09-29 17:00:00+00:00,Green Bay Packers,Lambeau Field,Minnesota Vikings
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Pittsburgh Steelers at Indianapolis Colts,PIT @ IND,2024-09-29 17:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Pittsburgh Steelers
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Denver Broncos at New York Jets,DEN @ NYJ,2024-09-29 17:00:00+00:00,New York Jets,MetLife Stadium,Denver Broncos
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Philadelphia Eagles at Tampa Bay Buccaneers,PHI @ TB,2024-09-29 17:00:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,Philadelphia Eagles
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Cincinnati Bengals at Carolina Panthers,CIN @ CAR,2024-09-29 17:00:00+00:00,Carolina Panthers,Bank of America Stadium,Cincinnati Bengals
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Jacksonville Jaguars at Houston Texans,JAX @ HOU,2024-09-29 17:00:00+00:00,Houston Texans,NRG Stadium,Jacksonville Jaguars
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Washington Commanders at Arizona Cardinals,WSH @ ARI,2024-09-29 20:05:00+00:00,Arizona Cardinals,State Farm Stadium,Washington Commanders
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,New England Patriots at San Francisco 49ers,NE @ SF,2024-09-29 20:05:00+00:00,San Francisco 49ers,Levi's Stadium,New England Patriots
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Cleveland Browns at Las Vegas Raiders,CLE @ LV,2024-09-29 20:25:00+00:00,Las Vegas Raiders,Allegiant Stadium,Cleveland Browns
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Kansas City Chiefs at Los Angeles Chargers,KC @ LAC,2024-09-29 20:25:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,Kansas City Chiefs
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Buffalo Bills at Baltimore Ravens,BUF @ BAL,2024-09-30 00:20:00+00:00,Baltimore Ravens,M&T Bank Stadium,Buffalo Bills
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Tennessee Titans at Miami Dolphins,TEN @ MIA,2024-09-30 23:30:00+00:00,Miami Dolphins,Hard Rock Stadium,Tennessee Titans
Regular Season,2,Week 4,2024-09-25 07:00:00+00:00,2024-10-02 06:59:00+00:00,Seattle Seahawks at Detroit Lions,SEA @ DET,2024-10-01 00:15:00+00:00,Detroit Lions,Ford Field,Seattle Seahawks
